
UNIX_time_stamp 1638503162.3434474	 File_name: addition.csv
Record_No	Value_1	Value_2	Operation	Result
0	0.5771718539	0.6212771067	addition	1.1984489606
1	0.1890275252	0.5802177588	addition	0.769245284
2	0.1981587602	0.2182303796	addition	0.41638913980000003
3	0.394027959	0.4247772009	addition	0.8188051598999999
4	0.6153707071	0.3282306044	addition	0.9436013114999999
5	0.03307151928	0.04902105354	addition	0.08209257282
6	0.1544707564	0.2875583828	addition	0.4420291392
7	0.2059704475	0.5366401019	addition	0.7426105493999999
8	0.5660823629	0.5347798708	addition	1.1008622337
9	0.2259072244	0.6240753175	addition	0.8499825419
10	0.01158963334	0.0236192744	addition	0.03520890774
11	0.2824503277	0.1524971005	addition	0.4349474282
12	0.1146608311	0.1285212932	addition	0.2431821243
13	0.8519068031	0.3817013751	addition	1.2336081782
14	0.01025887274	0.1522230786	addition	0.16248195134
15	0.5032306368	0.003523286937	addition	0.506753923737
16	0.3931563688	0.1418581728	addition	0.5350145416
17	0.9780251707	0.2365019628	addition	1.2145271334999999
18	0.3707121273	0.8325146168	addition	1.2032267441000002
19	0.7204533718	0.9296757609	addition	1.6501291327
20	0.1639877041	0.01730633816	addition	0.18129404225999998
21	0.8277650488	0.168149551	addition	0.9959145998000001
22	0.09691718114	0.7340548233	addition	0.8309720044400001
23	0.7559541223	0.4886804271	addition	1.2446345494
24	0.8505389971	0.244405563	addition	1.0949445601
25	0.009685338274	0.7778259786	addition	0.787511316874
26	0.1392343556	0.6360357084	addition	0.775270064
27	0.573618562	0.05166806124	addition	0.6252866232400001
28	0.05509302216	0.917583749	addition	0.97267677116
29	0.496772812	0.1838659662	addition	0.6806387782000001

UNIX_time_stamp 1638503162.358782	 File_name: subtraction.csv
Record_No	Value_1	Value_2	Operation	Result
0	0.8666248286	0.2353413092	subtraction	-1.1019661378
1	0.00606123139	0.738881268	subtraction	-0.74494249939
2	0.8190388302	0.8340550202	subtraction	-1.6530938504
3	0.2780177651	0.7632924398	subtraction	-1.0413102049
4	0.04871988248	0.1925291431	subtraction	-0.24124902558
5	0.7984172854	0.0216613018	subtraction	-0.8200785872
6	0.6615345693	0.1472030667	subtraction	-0.808737636
7	0.336145028	0.97338708	subtraction	-1.309532108
8	0.2279604062	0.7578591031	subtraction	-0.9858195093000001
9	0.9211767969	0.4586949081	subtraction	-1.379871705
10	0.9902328628	0.7067994712	subtraction	-1.697032334
11	0.3427824968	0.284292458	subtraction	-0.6270749548000001
12	0.9472585878	0.9000831876	subtraction	-1.8473417753999999
13	0.6131028793	0.2678331216	subtraction	-0.8809360009
14	0.1288974452	0.5067556316	subtraction	-0.6356530768
15	0.3176444788	0.001534223391	subtraction	-0.31917870219100003
16	0.4752090053	0.7649789654	subtraction	-1.2401879707
17	0.9141482785	0.3753165706	subtraction	-1.2894648491
18	0.6008096938	0.6315493002	subtraction	-1.2323589940000002
19	0.07115340474	0.1943151534	subtraction	-0.26546855814
20	0.3154191946	0.1489740268	subtraction	-0.4643932214
21	0.9685291017	0.06287931468	subtraction	-1.03140841638
